Location_Name,County,Utilities,Type,Address,Latitude,Longitude,url,Languages,Clients
Bank of Maharashtra,,atm,,", all",15.27347763,76.3910316,www.google.com,,
Bannerghatta National Park,,,National_Park,"National_Park, all",12.77012,77.56777,www.google.com,,
Bannerghatta Zoo,,,Parks,"Parks, all",12.797994,77.569106,www.google.com,,
Banni Koppa,,Public Transport,,", all",15.4064974,75.9417526,www.google.com,,
Bannihatti,,Public Transport,,", all",15.1444664,76.6223608,www.google.com,,
Bantawal,,Public Transport,,", all",12.8781673,75.0340919,www.google.com,,
Bara Kaman,,,,", all",16.830691,75.718333,www.google.com,,
Barachukki Waterfalls,,,Waterfalls,"Waterfalls, all",12.294291,77.168793,www.google.com,,
Barapole Small Hydro Electric Project,,,,", all",12.081908,75.78988,www.google.com,,
Barkana falls,,,Waterfalls,"Waterfalls, all",13.488147,75.093548,www.google.com,,
Barkur,,Public Transport,,", all",13.4770273,74.7598682,www.google.com,,
Barkur Fort,,,Heritage,"Heritage, all",13.471343,74.756018,www.google.com,,
Basadi Halli,,,,", all",12.463554,76.555326,www.google.com,,
Basavakalyan Fort,,,Heritage,"Heritage, all",17.884375,76.948642,www.google.com,,
Basavana Bagewadi Road,,Public Transport,,", all",16.4802988,75.8282871,www.google.com,,
Basaveshwara Aikya Mantap,,,Spiritual,"Spiritual, all",16.207041,76.067072,www.google.com,,
Basaveshwara Medical Center,,Hospital,,", all",15.1558148,76.94361022,www.google.com,,
Batapady Beach,,,Beaches,"Beaches, all",12.762617,74.864836,www.google.com,,
Bathi Kere,,,,", all",14.472936,75.87155,www.google.com,,
Bayaluvaddigeri,,Public Transport,,", all",15.2299894,76.535912,www.google.com,,
Begur Fort,,,Heritage,"Heritage, all",12.870736,77.622467,www.google.com,,
Belagavi,,Public Transport,,", all",15.8490568,74.5089431,www.google.com,,
Belagula,,Public Transport,,", all",12.3861225,76.5888472,www.google.com,,
Belavadi,,,,", all",13.282594,75.997324,www.google.com,,
Belekeri Beach,,,Beaches,"Beaches, all",14.706068,74.263148,www.google.com,,
Belgaum Fort,,,Heritage,"Heritage, all",15.859379,74.524356,www.google.com,,
Bellary Uphill Fort,,,Heritage,"Heritage, all",15.14868,76.910285,www.google.com,,
Bellenahalli,,Public Transport,,", all",13.7425903,75.7755906,www.google.com,,
Benal,,Public Transport,,", all",16.3846617,75.8816448,www.google.com,,
Bengaluru East,,Public Transport,,", all",13.0011462,77.6183453,www.google.com,,
Benne Hole Falls,,,Waterfalls,"Waterfalls, all",14.519635,74.609844,www.google.com,,
Bennihalli,,Public Transport,,", all",14.7875992,76.1190259,www.google.com,,
